Product_Key	metier	Prix Unitaire Facture	Date	QTY_STOCK	Qte Commandee Unite
48692	BOUL	12.025400000000001	11/03/2016 00:00	19560	6000
48692	BOUL	11.625414000000001	18/03/2016 00:00	19560	6000
49218	PAT	6.29	18/03/2016 00:00	492	6000
48692	BOUL	11.415414	22/03/2016 00:00	19560	6000
48714	BOUL	14.560000000000006	26/03/2016 00:00	6550	6000
63503	VIEN	18.48	17/02/2016 00:00	27972	5940
63509	VIEN	15.934588000000002	09/03/2016 00:00	72000	5920
48692	BOUL	11.625414000000001	15/03/2016 00:00	19560	5880
63503	VIEN	18.48	05/03/2016 00:00	27972	5832
48714	BOUL	14.560000000000006	06/01/2016 00:00	6550	5825
48692	BOUL	14.088700000000001	20/01/2016 00:00	19560	5760
48692	BOUL	11.075414	01/03/2016 00:00	19560	5760
63588	VIEN	9.44	02/03/2016 00:00	67200	5760
63588	VIEN	5.620222	24/03/2016 00:00	67200	5760
49995	PAT	4.532149	09/03/2016 00:00	15876	5670
49995	PAT	4.522149000000001	23/03/2016 00:00	15876	5670
48690	BOUL	15.318100000000001	08/01/2016 00:00	19800	5640
48703	BOUL	17.123144	26/01/2016 00:00	9840	5640
48690	BOUL	15.0862	29/01/2016 00:00	19800	5640
48692	BOUL	13.1186	09/03/2016 00:00	19560	5640
48689	BOUL	17.5232	23/03/2016 00:00	18240	5640
48690	BOUL	16.6422	03/02/2016 00:00	19800	5520
48690	BOUL	14.7262	05/02/2016 00:00	19800	5520
48692	BOUL	11.1354	08/03/2016 00:00	19560	5520
48690	BOUL	13.514589	24/03/2016 00:00	19800	5520
63499	VIEN	9.740048000000002	10/02/2016 00:00	80352	5472
63576	VIEN	12.050534999999996	09/03/2016 00:00	66240	5440
63588	VIEN	4.5401679999999995	17/03/2016 00:00	67200	5440
63588	VIEN	10.62	23/03/2016 00:00	67200	5440
63570	VIEN	3.780016	07/01/2016 00:00	53100	5400
48677	BOUL	17.258399999999998	23/03/2016 00:00	16320	5400
48692	BOUL	10.735414	25/03/2016 00:00	19560	5400
48714	BOUL	13.440000000000005	19/03/2016 00:00	6550	5300
48690	BOUL	17.5762	05/01/2016 00:00	19800	5280
48692	BOUL	12.297700000000003	15/01/2016 00:00	19560	5280
48703	BOUL	18.9732	12/02/2016 00:00	9840	5240
48714	BOUL	13.440000000000005	27/02/2016 00:00	6550	5200
63499	VIEN	8.620048	13/01/2016 00:00	80352	5184
63503	VIEN	18.48	03/02/2016 00:00	27972	5184
63503	VIEN	18.48	10/02/2016 00:00	27972	5184
63499	VIEN	3.4000000000000004	10/03/2016 00:00	80352	5184
48690	BOUL	15.9781	15/01/2016 00:00	19800	5160
48690	BOUL	16.7241	20/01/2016 00:00	19800	5160
48690	BOUL	16.9162	26/01/2016 00:00	19800	5160
48692	BOUL	7.0877	23/02/2016 00:00	19560	5160
48690	BOUL	15.8962	25/03/2016 00:00	19800	5160
48714	BOUL	10.080000000000002	27/01/2016 00:00	6550	5150
48714	BOUL	5.6000000000000005	01/02/2016 00:00	6550	5150
63588	VIEN	9.44	10/02/2016 00:00	67200	5120
63588	VIEN	3.340108	11/02/2016 00:00	67200	5120
63559	VIEN	12.848220000000001	09/03/2016 00:00	74080	5120
63570	VIEN	9.959999999999999	06/01/2016 00:00	53100	5100
48714	BOUL	8.96	13/01/2016 00:00	6550	5100
48703	BOUL	18.9732	26/02/2016 00:00	9840	5080
48692	BOUL	11.8619	03/02/2016 00:00	19560	5040
48690	BOUL	13.432689	18/02/2016 00:00	19800	5040
48692	BOUL	10.154214	18/02/2016 00:00	19560	5040
48690	BOUL	16.9162	11/03/2016 00:00	19800	5040
48692	BOUL	9.301014	19/03/2016 00:00	19560	5040
63509	VIEN	9.80124	14/03/2016 00:00	72000	4960
48692	BOUL	10.528699999999999	17/02/2016 00:00	19560	4920
49995	PAT	2.3800980000000003	26/01/2016 00:00	15876	4914
48714	BOUL	8.96	20/01/2016 00:00	6550	4900
63503	VIEN	18.48	30/03/2016 00:00	27972	4860
48714	BOUL	6.03	25/01/2016 00:00	6550	4850
48714	BOUL	10.080000000000002	23/03/2016 00:00	6550	4850
48703	BOUL	15.853199999999998	04/03/2016 00:00	9840	4840
48703	BOUL	18.9732	01/01/2016 00:00	9840	4800
63509	VIEN	16.111724000000002	16/01/2016 00:00	72000	4800
48690	BOUL	17.0662	19/01/2016 00:00	19800	4800
48692	BOUL	8.9842	04/02/2016 00:00	19560	4800
49218	PAT		08/02/2016 00:00	492	4800
63576	VIEN	9.70698	08/02/2016 00:00	66240	4800
48690	BOUL	12.6126	10/02/2016 00:00	19800	4800
48690	BOUL	11.8081	12/02/2016 00:00	19800	4800
48690	BOUL	12.7462	19/02/2016 00:00	19800	4800
49218	PAT	6.29	19/02/2016 00:00	492	4800
63509	VIEN	18.534375999999998	24/02/2016 00:00	72000	4800
48690	BOUL	13.4062	08/03/2016 00:00	19800	4800
63509	VIEN	12.901603999999999	19/03/2016 00:00	72000	4800
48714	BOUL	13.440000000000005	05/03/2016 00:00	6550	4700
48714	BOUL	12.750000000000004	25/03/2016 00:00	6550	4700
48690	BOUL	14.23	22/01/2016 00:00	19800	4680
48692	BOUL	11.933100000000001	27/01/2016 00:00	19560	4680
48690	BOUL	10.406199999999998	29/03/2016 00:00	19800	4680
63421	VIEN	39	02/01/2016 00:00	500	4650
63503	VIEN	18.48	23/03/2016 00:00	27972	4644
63509	VIEN	11.031120000000001	08/02/2016 00:00	72000	4640
63576	VIEN	11.511315	19/03/2016 00:00	66240	4640
63499	VIEN	12.160048000000003	06/01/2016 00:00	80352	4608
63499	VIEN	4.5200000000000005	07/01/2016 00:00	80352	4608
48714	BOUL	11.200000000000003	11/03/2016 00:00	6550	4600
48692	BOUL	11.879700000000001	24/02/2016 00:00	19560	4560
48692	BOUL	12.843214000000003	05/03/2016 00:00	19560	4560
48690	BOUL	10.2345	31/03/2016 00:00	19800	4560
48692	BOUL	8.7065	31/03/2016 00:00	19560	4560
48714	BOUL	13.440000000000005	20/02/2016 00:00	6550	4550
49995	PAT	4.610049	20/01/2016 00:00	15876	4536
49995	PAT	5.300098	17/02/2016 00:00	15876	4536
49995	PAT	4.610049	16/03/2016 00:00	15876	4536
48714	BOUL	10.080000000000002	16/03/2016 00:00	6550	4525
63570	VIEN	3.720016	21/01/2016 00:00	53100	4500
63570	VIEN	7.010000000000001	03/02/2016 00:00	53100	4500
48714	BOUL	11.200000000000003	09/02/2016 00:00	6550	4500
63570	VIEN	6.94	10/02/2016 00:00	53100	4500
48714	BOUL	10.080000000000002	09/03/2016 00:00	6550	4500
63570	VIEN	2.820016	10/03/2016 00:00	53100	4500
48714	BOUL	12.320000000000004	12/03/2016 00:00	6550	4500
63576	VIEN	14.271269999999998	16/01/2016 00:00	66240	4480
63588	VIEN	7.079999999999999	03/02/2016 00:00	67200	4480
63588	VIEN	4.640114	04/02/2016 00:00	67200	4480
63576	VIEN	7.666935	14/03/2016 00:00	66240	4480
48692	BOUL	8.5277	12/01/2016 00:00	19560	4440
48692	BOUL	10.453228	13/02/2016 00:00	19560	4440
48690	BOUL	13.2726	17/02/2016 00:00	19800	4440
48692	BOUL	9.3865	03/03/2016 00:00	19560	4440
48703	BOUL	17.3632	11/03/2016 00:00	9840	4400
48703	BOUL	16.1032	29/03/2016 00:00	9840	4400
48714	BOUL	10.080000000000002	24/02/2016 00:00	6550	4325
48690	BOUL	14.0662	02/02/2016 00:00	19800	4320
48689	BOUL	18.264400000000002	10/02/2016 00:00	18240	4320
48703	BOUL	14.293199999999999	19/02/2016 00:00	9840	4320
63503	VIEN	18.48	24/02/2016 00:00	27972	4320
48690	BOUL	13.324300000000001	04/03/2016 00:00	19800	4320
48690	BOUL	12.6243	09/03/2016 00:00	19800	4320
48690	BOUL	11.754678000000002	10/03/2016 00:00	19800	4320
63499	VIEN	7.619999999999999	16/03/2016 00:00	80352	4320
48714	BOUL	13.440000000000005	06/02/2016 00:00	6550	4300
63441	VIEN	13.679999999999998	17/02/2016 00:00	2200	4300
48703	BOUL	12.78	29/01/2016 00:00	9840	4240
63503	VIEN	18.48	27/01/2016 00:00	27972	4212
63503	VIEN	18.48	12/03/2016 00:00	27972	4212
48690	BOUL	15.2362	09/02/2016 00:00	19800	4200
63570	VIEN	6.050000000000001	17/02/2016 00:00	53100	4200
48690	BOUL	11.2545	03/03/2016 00:00	19800	4200
48690	BOUL	11.6649	16/03/2016 00:00	19800	4200
48690	BOUL	15.2362	18/03/2016 00:00	19800	4200
48690	BOUL	10.4062	22/03/2016 00:00	19800	4200
48714	BOUL	10.080000000000002	26/02/2016 00:00	6550	4175
63509	VIEN	9.929844000000001	02/01/2016 00:00	72000	4160
48703	BOUL	18.973200000000002	19/01/2016 00:00	9840	4160
63559	VIEN	8.012384	08/02/2016 00:00	74080	4160
63509	VIEN	11.892096	13/02/2016 00:00	72000	4160
63509	VIEN	11.031416	10/03/2016 00:00	72000	4160
63588	VIEN	3.360168	10/03/2016 00:00	67200	4160
63509	VIEN	11.502096000000002	12/03/2016 00:00	72000	4160
48714	BOUL	10.080000000000002	09/01/2016 00:00	6550	4150
48714	BOUL	10.080000000000002	02/03/2016 00:00	6550	4150
63503	VIEN	18.48	19/03/2016 00:00	27972	4104
48714	BOUL	8.27	17/03/2016 00:00	6550	4100
48690	BOUL	14.592600000000001	06/01/2016 00:00	19800	4080
48692	BOUL	12.160900000000003	06/01/2016 00:00	19560	4080
48690	BOUL	10.214099999999998	13/01/2016 00:00	19800	4080
48690	BOUL	12.842778000000001	14/01/2016 00:00	19800	4080
48692	BOUL	8.374213999999998	28/01/2016 00:00	19560	4080
48689	BOUL	14.334799999999998	03/02/2016 00:00	18240	4080
48690	BOUL	14.5762	26/02/2016 00:00	19800	4080
48690	BOUL	10.547588999999999	29/02/2016 00:00	19800	4080
48690	BOUL	11.4192	02/03/2016 00:00	19800	4080
48692	BOUL	10.4664	02/03/2016 00:00	19560	4080
48692	BOUL	8.376528	10/03/2016 00:00	19560	4080
48714	BOUL	10.080000000000002	22/01/2016 00:00	6550	4050
48714	BOUL	14.560000000000006	13/02/2016 00:00	6550	4050
63499	VIEN	7.320048	03/02/2016 00:00	80352	4032
63499	VIEN	8.92	05/03/2016 00:00	80352	4032
63499	VIEN	7.8	12/03/2016 00:00	80352	4032
63576	VIEN	8.640179999999999	04/01/2016 00:00	66240	4000
63509	VIEN	10.509696	14/01/2016 00:00	72000	4000
63559	VIEN	15.544144	10/02/2016 00:00	74080	4000
48714	BOUL	7.840000000000001	17/02/2016 00:00	6550	4000
63509	VIEN	14.831296000000002	18/02/2016 00:00	72000	4000
63509	VIEN	7.211360000000001	07/03/2016 00:00	72000	4000
63576	VIEN	10.636979999999998	10/03/2016 00:00	66240	4000
63562	VIEN	4.590135	19/03/2016 00:00	26720	4000
